request_id,metadata
request-0,"{'law_index': '시행령_제2조제1항', 'document_title': '금융지주회사법 시행령\n', 'created_date': '시행 2024. 4. 23.', 'revise_info': '대통령령 제34449호, 2024. 4. 23., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제2조제1항_금융업의 범위 등'}"
request-1,"{'law_index': '시행령_제2조제2항', 'document_title': '금융지주회사법 시행령\n', 'created_date': '시행 2024. 4. 23.', 'revise_info': '대통령령 제34449호, 2024. 4. 23., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제2조제2항_금융업의 범위 등'}"
request-2,"{'law_index': '시행령_제2조제3항', 'document_title': '금융지주회사법 시행령\n', 'created_date': '시행 2024. 4. 23.', 'revise_info': '대통령령 제34449호, 2024. 4. 23., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제2조제3항_금융업의 범위 등'}"
request-3,"{'law_index': '시행령_제2조제3항', 'document_title': '금융지주회사법 시행령\n', 'created_date': '시행 2024. 4. 23.', 'revise_info': '대통령령 제34449호, 2024. 4. 23., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제2조제3항_금융업의 범위 등'}"
request-4,"{'law_index': '시행령_제2조제4항', 'document_title': '금융지주회사법 시행령\n', 'created_date': '시행 2024. 4. 23.', 'revise_info': '대통령령 제34449호, 2024. 4. 23., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제2조제4항_금융업의 범위 등'}"
request-5,"{'law_index': '시행령_제2조제4항', 'document_title': '금융지주회사법 시행령\n', 'created_date': '시행 2024. 4. 23.', 'revise_info': '대통령령 제34449호, 2024. 4. 23., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제2조제4항_금융업의 범위 등'}"
request-6,"{'law_index': '시행령_제2조제6항', 'document_title': '금융지주회사법 시행령\n', 'created_date': '시행 2024. 4. 23.', 'revise_info': '대통령령 제34449호, 2024. 4. 23., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제2조제6항_금융업의 범위 등'}"
request-7,"{'law_index': '시행령_제2조제6항', 'document_title': '금융지주회사법 시행령\n', 'created_date': '시행 2024. 4. 23.', 'revise_info': '대통령령 제34449호, 2024. 4. 23., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제2조제6항_금융업의 범위 등'}"
request-8,"{'law_index': '시행령_제3조제1항', 'document_title': '금융지주회사법 시행령\n', 'created_date': '시행 2024. 4. 23.', 'revise_info': '대통령령 제34449호, 2024. 4. 23., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제3조제1항_특수관계인의 범위'}"
request-9,"{'law_index': '시행령_제3조제2항', 'document_title': '금융지주회사법 시행령\n', 'created_date': '시행 2024. 4. 23.', 'revise_info': '대통령령 제34449호, 2024. 4. 23., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제3조제2항_특수관계인의 범위'}"
request-10,"{'law_index': '시행령_제3조의3제1항', 'document_title': '금융지주회사법 시행령\n', 'created_date': '시행 2024. 4. 23.', 'revise_info': '대통령령 제34449호, 2024. 4. 23., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제3조의3제1항_사실상 영향력 행사 및 경영 관여의 기준'}"
request-11,"{'law_index': '시행령_제4조제1항', 'document_title': '금융지주회사법 시행령\n', 'created_date': '시행 2024. 4. 23.', 'revise_info': '대통령령 제34449호, 2024. 4. 23., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제4조제1항_인가신청서'}"
request-12,"{'law_index': '시행령_제5조제3항', 'document_title': '금융지주회사법 시행령\n', 'created_date': '시행 2024. 4. 23.', 'revise_info': '대통령령 제34449호, 2024. 4. 23., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제5조제3항_인가의 세부기준'}"
request-13,"{'law_index': '시행령_제5조제5항', 'document_title': '금융지주회사법 시행령\n', 'created_date': '시행 2024. 4. 23.', 'revise_info': '대통령령 제34449호, 2024. 4. 23., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제5조제5항_인가의 세부기준'}"
request-14,"{'law_index': '시행령_제5조의2제1항', 'document_title': '금융지주회사법 시행령\n', 'created_date': '시행 2024. 4. 23.', 'revise_info': '대통령령 제34449호, 2024. 4. 23., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제5조의2제1항_인가대상금융지주회사의 보고 등'}"
request-15,"{'law_index': '시행령_제5조의4제1항', 'document_title': '금융지주회사법 시행령\n', 'created_date': '시행 2024. 4. 23.', 'revise_info': '대통령령 제34449호, 2024. 4. 23., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제5조의4제1항_금융지주회사와 다른 금융지주회사의 지배관계 허용 요건'}"
request-16,"{'law_index': '시행령_제5조의4제1항', 'document_title': '금융지주회사법 시행령\n', 'created_date': '시행 2024. 4. 23.', 'revise_info': '대통령령 제34449호, 2024. 4. 23., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제5조의4제1항_금융지주회사와 다른 금융지주회사의 지배관계 허용 요건'}"
request-17,"{'law_index': '시행령_제5조의5제1항', 'document_title': '금융지주회사법 시행령\n', 'created_date': '시행 2024. 4. 23.', 'revise_info': '대통령령 제34449호, 2024. 4. 23., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제5조의5제1항_투자회사 등과 금융지주회사의 지배관계 허용 요건'}"
request-18,"{'law_index': '시행령_제5조의6제1항', 'document_title': '금융지주회사법 시행령\n', 'created_date': '시행 2024. 4. 23.', 'revise_info': '대통령령 제34449호, 2024. 4. 23., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제5조의6제1항_외국 금융기관의 요건'}"
request-19,"{'law_index': '시행령_제5조의7제1항', 'document_title': '금융지주회사법 시행령\n', 'created_date': '시행 2024. 4. 23.', 'revise_info': '대통령령 제34449호, 2024. 4. 23., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제5조의7제1항_외국 금융기관과 금융지주회사의 지배관계 허용 요건'}"
request-20,"{'law_index': '시행령_제5조의7제1항', 'document_title': '금융지주회사법 시행령\n', 'created_date': '시행 2024. 4. 23.', 'revise_info': '대통령령 제34449호, 2024. 4. 23., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제5조의7제1항_외국 금융기관과 금융지주회사의 지배관계 허용 요건'}"
request-21,"{'law_index': '시행령_제5조의7제1항', 'document_title': '금융지주회사법 시행령\n', 'created_date': '시행 2024. 4. 23.', 'revise_info': '대통령령 제34449호, 2024. 4. 23., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제5조의7제1항_외국 금융기관과 금융지주회사의 지배관계 허용 요건'}"
request-22,"{'law_index': '시행령_제5조의8제1항', 'document_title': '금융지주회사법 시행령\n', 'created_date': '시행 2024. 4. 23.', 'revise_info': '대통령령 제34449호, 2024. 4. 23., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제5조의8제1항_금융지주회사와의 지배관계의 해소 등'}"
request-23,"{'law_index': '시행령_제9조제2항', 'document_title': '금융지주회사법 시행령\n', 'created_date': '시행 2024. 4. 23.', 'revise_info': '대통령령 제34449호, 2024. 4. 23., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제9조제2항_기관전용 사모집합투자기구등의 주식보유에 대한 승인 등'}"
request-24,"{'law_index': '시행령_제9조제2항', 'document_title': '금융지주회사법 시행령\n', 'created_date': '시행 2024. 4. 23.', 'revise_info': '대통령령 제34449호, 2024. 4. 23., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제9조제2항_기관전용 사모집합투자기구등의 주식보유에 대한 승인 등'}"
request-25,"{'law_index': '시행령_제9조의2제1항', 'document_title': '금융지주회사법 시행령\n', 'created_date': '시행 2024. 4. 23.', 'revise_info': '대통령령 제34449호, 2024. 4. 23., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제9조의2제1항_주식보유한도 초과시 보고기간 등'}"
request-26,"{'law_index': '시행령_제11조의2제1항', 'document_title': '금융지주회사법 시행령\n', 'created_date': '시행 2024. 4. 23.', 'revise_info': '대통령령 제34449호, 2024. 4. 23., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제11조의2제1항_금융채의 발행 등'}"
request-27,"{'law_index': '시행령_제11조의2제2항', 'document_title': '금융지주회사법 시행령\n', 'created_date': '시행 2024. 4. 23.', 'revise_info': '대통령령 제34449호, 2024. 4. 23., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제11조의2제2항_금융채의 발행 등'}"
request-28,"{'law_index': '시행령_제12조제1항', 'document_title': '금융지주회사법 시행령\n', 'created_date': '시행 2024. 4. 23.', 'revise_info': '대통령령 제34449호, 2024. 4. 23., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제12조제1항_자회사등의 편입승인'}"
request-29,"{'law_index': '시행령_제13조제1항', 'document_title': '금융지주회사법 시행령\n', 'created_date': '시행 2024. 4. 23.', 'revise_info': '대통령령 제34449호, 2024. 4. 23., 타법개정\n', 'source': '국가법령정보센터', 'reference': '시행령__제13조제1항_자회사등 편입승인의 세부요건'}"
